NOC,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Year,Value,Flag Codes
MLT,POP,MEN,MLN_PER,A,1950,0.154002,
MLT,POP,MEN,MLN_PER,A,1951,0.153098,
MLT,POP,MEN,MLN_PER,A,1952,0.15256,
MLT,POP,MEN,MLN_PER,A,1953,0.152227,
MLT,POP,MEN,MLN_PER,A,1954,0.151976,
MLT,POP,MEN,MLN_PER,A,1955,0.151739,
MLT,POP,MEN,MLN_PER,A,1956,0.151502,
MLT,POP,MEN,MLN_PER,A,1957,0.151291,
MLT,POP,MEN,MLN_PER,A,1958,0.151181,
MLT,POP,MEN,MLN_PER,A,1959,0.151278,
MLT,POP,MEN,MLN_PER,A,1960,0.151655,
MLT,POP,MEN,MLN_PER,A,1961,0.152346,
MLT,POP,MEN,MLN_PER,A,1962,0.153299,
MLT,POP,MEN,MLN_PER,A,1963,0.154346,
MLT,POP,MEN,MLN_PER,A,1964,0.155248,
MLT,POP,MEN,MLN_PER,A,1965,0.15584,
MLT,POP,MEN,MLN_PER,A,1966,0.156069,
MLT,POP,MEN,MLN_PER,A,1967,0.156008,
MLT,POP,MEN,MLN_PER,A,1968,0.155737,
MLT,POP,MEN,MLN_PER,A,1969,0.155464,
MLT,POP,MEN,MLN_PER,A,1970,0.1553,
MLT,POP,MEN,MLN_PER,A,1971,0.155268,
MLT,POP,MEN,MLN_PER,A,1972,0.155363,
MLT,POP,MEN,MLN_PER,A,1973,0.155596,
MLT,POP,MEN,MLN_PER,A,1974,0.15594,
MLT,POP,MEN,MLN_PER,A,1975,0.156409,
MLT,POP,MEN,MLN_PER,A,1976,0.157006,
MLT,POP,MEN,MLN_PER,A,1977,0.157743,
MLT,POP,MEN,MLN_PER,A,1978,0.15865,
MLT,POP,MEN,MLN_PER,A,1979,0.15975,
MLT,POP,MEN,MLN_PER,A,1980,0.161068,
MLT,POP,MEN,MLN_PER,A,1981,0.16262,
MLT,POP,MEN,MLN_PER,A,1982,0.164375,
MLT,POP,MEN,MLN_PER,A,1983,0.166256,
MLT,POP,MEN,MLN_PER,A,1984,0.160691,
MLT,POP,MEN,MLN_PER,A,1985,0.164672,
MLT,POP,MEN,MLN_PER,A,1986,0.168536,
MLT,POP,MEN,MLN_PER,A,1987,0.169783,
MLT,POP,MEN,MLN_PER,A,1988,0.171256,
MLT,POP,MEN,MLN_PER,A,1989,0.173019,
MLT,POP,MEN,MLN_PER,A,1990,0.174839,
MLT,POP,MEN,MLN_PER,A,1991,0.176734,
MLT,POP,MEN,MLN_PER,A,1992,0.178556,
MLT,POP,MEN,MLN_PER,A,1993,0.18033,
MLT,POP,MEN,MLN_PER,A,1994,0.182035,
MLT,POP,MEN,MLN_PER,A,1995,0.183215,
MLT,POP,MEN,MLN_PER,A,1996,0.184455,
MLT,POP,MEN,MLN_PER,A,1997,0.185992,
MLT,POP,MEN,MLN_PER,A,1998,0.187177,
MLT,POP,MEN,MLN_PER,A,1999,0.188139,
MLT,POP,MEN,MLN_PER,A,2000,0.191139,
MLT,POP,MEN,MLN_PER,A,2001,0.194526,
MLT,POP,MEN,MLN_PER,A,2002,0.1961,
MLT,POP,MEN,MLN_PER,A,2003,0.197468,
MLT,POP,MEN,MLN_PER,A,2004,0.198836,
MLT,POP,MEN,MLN_PER,A,2005,0.200206,
MLT,POP,MEN,MLN_PER,A,2006,0.20118,
MLT,POP,MEN,MLN_PER,A,2007,0.202129,
MLT,POP,MEN,MLN_PER,A,2008,0.20367,
MLT,POP,MEN,MLN_PER,A,2009,0.205402,
MLT,POP,MEN,MLN_PER,A,2010,0.206304,
MLT,POP,MEN,MLN_PER,A,2011,0.207051,
MLT,POP,MEN,MLN_PER,A,2012,0.209043,
MLT,POP,MEN,MLN_PER,A,2013,0.212454,
MLT,POP,MEN,MLN_PER,A,2014,0.217511,
MLT,POP,MEN,MLN_PER,A,2015,0.223443,
MLT,POP,MEN,MLN_PER,A,2016,0.229029,
MLT,POP,MEN,MLN_PER,A,2017,0.236134,
MLT,POP,MEN,MLN_PER,A,2018,0.246222,
MLT,POP,MEN,MLN_PER,A,2019,0.258798,
MLT,POP,MEN,MLN_PER,A,2020,0.266953,
MLT,POP,TOT,MLN_PER,A,1950,0.311998,
MLT,POP,TOT,MLN_PER,A,1951,0.312215,
MLT,POP,TOT,MLN_PER,A,1952,0.312746,
MLT,POP,TOT,MLN_PER,A,1953,0.313266,
MLT,POP,TOT,MLN_PER,A,1954,0.313562,
MLT,POP,TOT,MLN_PER,A,1955,0.313523,
MLT,POP,TOT,MLN_PER,A,1956,0.313195,
MLT,POP,TOT,MLN_PER,A,1957,0.312702,
MLT,POP,TOT,MLN_PER,A,1958,0.312303,
MLT,POP,TOT,MLN_PER,A,1959,0.312316,
MLT,POP,TOT,MLN_PER,A,1960,0.312973,
MLT,POP,TOT,MLN_PER,A,1961,0.314414,
MLT,POP,TOT,MLN_PER,A,1962,0.31652,
MLT,POP,TOT,MLN_PER,A,1963,0.318888,
MLT,POP,TOT,MLN_PER,A,1964,0.320927,
MLT,POP,TOT,MLN_PER,A,1965,0.322238,
MLT,POP,TOT,MLN_PER,A,1966,0.322696,
MLT,POP,TOT,MLN_PER,A,1967,0.322457,
MLT,POP,TOT,MLN_PER,A,1968,0.321762,
MLT,POP,TOT,MLN_PER,A,1969,0.321031,
MLT,POP,TOT,MLN_PER,A,1970,0.320548,
MLT,POP,TOT,MLN_PER,A,1971,0.320364,
MLT,POP,TOT,MLN_PER,A,1972,0.320437,
MLT,POP,TOT,MLN_PER,A,1973,0.320801,
MLT,POP,TOT,MLN_PER,A,1974,0.321436,
MLT,POP,TOT,MLN_PER,A,1975,0.322358,
MLT,POP,TOT,MLN_PER,A,1976,0.323579,
MLT,POP,TOT,MLN_PER,A,1977,0.325126,
MLT,POP,TOT,MLN_PER,A,1978,0.326984,
MLT,POP,TOT,MLN_PER,A,1979,0.329117,
MLT,POP,TOT,MLN_PER,A,1980,0.331494,
MLT,POP,TOT,MLN_PER,A,1981,0.334115,
MLT,POP,TOT,MLN_PER,A,1982,0.336964,
MLT,POP,TOT,MLN_PER,A,1983,0.339984,
MLT,POP,TOT,MLN_PER,A,1984,0.330593,
MLT,POP,TOT,MLN_PER,A,1985,0.336452,
MLT,POP,TOT,MLN_PER,A,1986,0.342121,
MLT,POP,TOT,MLN_PER,A,1987,0.344485,
MLT,POP,TOT,MLN_PER,A,1988,0.347325,
MLT,POP,TOT,MLN_PER,A,1989,0.350722,
MLT,POP,TOT,MLN_PER,A,1990,0.35417,
MLT,POP,TOT,MLN_PER,A,1991,0.357727,
MLT,POP,TOT,MLN_PER,A,1992,0.36126,
MLT,POP,TOT,MLN_PER,A,1993,0.364704,
MLT,POP,TOT,MLN_PER,A,1994,0.367941,
MLT,POP,TOT,MLN_PER,A,1995,0.370433,
MLT,POP,TOT,MLN_PER,A,1996,0.372687,
MLT,POP,TOT,MLN_PER,A,1997,0.375236,
MLT,POP,TOT,MLN_PER,A,1998,0.377516,
MLT,POP,TOT,MLN_PER,A,1999,0.37936,
MLT,POP,TOT,MLN_PER,A,2000,0.385808,
MLT,POP,TOT,MLN_PER,A,2001,0.393028,
MLT,POP,TOT,MLN_PER,A,2002,0.395969,
MLT,POP,TOT,MLN_PER,A,2003,0.398582,
MLT,POP,TOT,MLN_PER,A,2004,0.401263,
MLT,POP,TOT,MLN_PER,A,2005,0.403825,
MLT,POP,TOT,MLN_PER,A,2006,0.405311,
MLT,POP,TOT,MLN_PER,A,2007,0.406725,
MLT,POP,TOT,MLN_PER,A,2008,0.409377,
MLT,POP,TOT,MLN_PER,A,2009,0.412474,
MLT,POP,TOT,MLN_PER,A,2010,0.414509,
MLT,POP,TOT,MLN_PER,A,2011,0.416264,
MLT,POP,TOT,MLN_PER,A,2012,0.420033,
MLT,POP,TOT,MLN_PER,A,2013,0.425968,
MLT,POP,TOT,MLN_PER,A,2014,0.434557,
MLT,POP,TOT,MLN_PER,A,2015,0.445056,
MLT,POP,TOT,MLN_PER,A,2016,0.455356,
MLT,POP,TOT,MLN_PER,A,2017,0.468005,
MLT,POP,TOT,MLN_PER,A,2018,0.484634,
MLT,POP,TOT,MLN_PER,A,2019,0.504059,
MLT,POP,TOT,MLN_PER,A,2020,0.520193,
MLT,POP,WOMEN,MLN_PER,A,1950,157.996,
MLT,POP,WOMEN,MLN_PER,A,1951,159.117,
MLT,POP,WOMEN,MLN_PER,A,1952,160.186,
MLT,POP,WOMEN,MLN_PER,A,1953,161.039,
MLT,POP,WOMEN,MLN_PER,A,1954,161.586,
MLT,POP,WOMEN,MLN_PER,A,1955,161.784,
MLT,POP,WOMEN,MLN_PER,A,1956,161.693,
MLT,POP,WOMEN,MLN_PER,A,1957,161.411,
MLT,POP,WOMEN,MLN_PER,A,1958,161.122,
MLT,POP,WOMEN,MLN_PER,A,1959,161.038,
MLT,POP,WOMEN,MLN_PER,A,1960,161.318,
MLT,POP,WOMEN,MLN_PER,A,1961,162.068,
MLT,POP,WOMEN,MLN_PER,A,1962,163.221,
MLT,POP,WOMEN,MLN_PER,A,1963,164.542,
MLT,POP,WOMEN,MLN_PER,A,1964,165.679,
MLT,POP,WOMEN,MLN_PER,A,1965,166.398,
MLT,POP,WOMEN,MLN_PER,A,1966,166.627,
MLT,POP,WOMEN,MLN_PER,A,1967,166.449,
MLT,POP,WOMEN,MLN_PER,A,1968,166.025,
MLT,POP,WOMEN,MLN_PER,A,1969,165.567,
MLT,POP,WOMEN,MLN_PER,A,1970,165.248,
MLT,POP,WOMEN,MLN_PER,A,1971,165.096,
MLT,POP,WOMEN,MLN_PER,A,1972,165.074,
MLT,POP,WOMEN,MLN_PER,A,1973,165.205,
MLT,POP,WOMEN,MLN_PER,A,1974,165.496,
MLT,POP,WOMEN,MLN_PER,A,1975,165.949,
MLT,POP,WOMEN,MLN_PER,A,1976,166.573,
MLT,POP,WOMEN,MLN_PER,A,1977,167.383,
MLT,POP,WOMEN,MLN_PER,A,1978,168.334,
MLT,POP,WOMEN,MLN_PER,A,1979,169.367,
MLT,POP,WOMEN,MLN_PER,A,1980,170.426,
MLT,POP,WOMEN,MLN_PER,A,1981,171.495,
MLT,POP,WOMEN,MLN_PER,A,1982,172.589,
MLT,POP,WOMEN,MLN_PER,A,1983,173.728,
MLT,POP,WOMEN,MLN_PER,A,1984,169.903,
MLT,POP,WOMEN,MLN_PER,A,1985,171.781,
MLT,POP,WOMEN,MLN_PER,A,1986,173.585,
