NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
DOM,0.11621494072157765,0.036551629974873635,0.03530871451025975,0.1031048906757989,,0.10702110214360919,,,0.18456552958676906,,0.22313212859073314,0.16882426765919814,0.06874944990006002,,,0.05060690876363153,0.03880039902816249,,0.03005567708408142,0.03839740822160634,0.0429639442949455,0.0072685319465871645,,,0.01274244466070292,0.0010445411946877839,,0.49117137319564863,,,,,,,
TON,0.016298299070555508,0.0024462566824477185,,,,,,,,,0.2577767859990067,,0.004348928866562971,,,,0.0706284870067977,,0.027845519023936987,,,,,,,,,0.23510899147822573,,,,,,,
TGO,0.04368607103063178,0.0050897639371298466,,0.0006637412331229063,0.00868525583820137,,,0.6885330261357118,,,0.08520793963971761,,0.06770886501297256,,,,,,,,0.0340554205919138,0.006626747449559909,,,,,,,,,,,,,
PRT,0.13898338751950565,0.008605261453535462,0.023318398462152137,0.0038006962343905683,0.04133743959211535,0.05160820704744511,0.016893730047900585,0.29824670698536054,0.12961167847119584,0.0007617664230003329,0.15790037816443606,0.051094778107647065,0.1851481460652528,,,,0.08118912617854246,,0.019608220875819427,0.044011253454934986,0.0610209590275921,0.009305285413951786,0.0006920750429039766,0.030697360004330543,,,0.07588024452552737,0.18747818280259712,0.03834086436000364,0.08850182045255231,,,0.22933808090020769,0.07934323111654655,
ISL,0.1390836219919576,0.008126683024789362,0.09547587121717813,,,0.19554230007565865,,,,,,,0.23863816918805045,,0.47853087238154796,,0.2492504851193417,,,,,,0.11219914697587065,,,,,,,,,,,,
ECU,0.23940052573926493,0.05279139709902824,0.020611045191976818,0.04657246169779505,0.21412781518430468,0.10938310471000819,,0.39998736773468685,0.06396799678731176,,0.0358662257185416,0.21826409249467058,0.12025021153559338,,,,0.10951552544670419,,,0.03839740822160634,0.0429639442949455,0.0072685319465871645,,,,,,0.23510899147822573,,0.023676956438391968,,,,,
PHL,0.021404266667831347,0.0036719159359633624,0.021171047436296064,0.02396483568691873,0.09294667436125416,0.022291625289957928,0.012460560957831589,,0.09216600166646442,,0.28663767050098315,0.11159693884093254,0.048138195712394985,0.0015060978798037753,,,0.052989493890358216,,0.011166145346995629,0.044011253454934986,,0.0060793007758821885,0.04255626407898637,,,,,0.1728683889550292,,,,,,0.03384653311564443,
CUB,0.6772348305749697,0.3060815379300272,0.014837966013175993,0.16174847731500802,0.018461537434894867,0.4164760696105715,0.291450307171169,0.3214843571310066,0.5327786322777756,0.041861328077548283,0.9140777830817721,,0.8078374196937228,0.17273009722208366,0.012622423862634619,0.5040635840845376,0.3719539073000023,0.05231515181591981,0.10210159685273934,0.03381928435019355,,0.009305285413951786,,0.09799155563088192,0.02050782252143747,0.9998159079434976,,0.6263133820555181,0.07221338877945724,,0.00014627140705454522,,,,0.09266520263190182
MKD,0.12136703721519969,0.05279139709902824,,,,0.19472198300122504,,0.317415680036799,0.33683594034906933,,,,0.1890465655008955,,,,,,,,,,,,,,,,,,,,,,
LAO,0.013500317374756784,0.01898236549571326,,0.041007603539341964,,,,,,,0.04569111689880614,,0.11127767384710899,,,,,,0.025419185714957628,,,,,,,,,,,,,,,,
