NOC,Team,Archery,Athletics,Badminton,Baseball,Basketball,Beach Volleyball,Boxing,Canoeing,Cycling,Diving,Equestrianism,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Judo,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Shooting,Softball,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
FRG,West Germany-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,Federated States of Micronesia,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,4.0,1.0
GAB,Gabon,,22.0,,,,,12.0,,,,,,15.0,,,,,10.0,,,,,,,1.0,,,3.0,,,,,,,
GBR,Great Britain,83.0,1303.0,39.0,,24.0,6.0,116.0,226.0,348.0,134.0,297.0,290.0,48.0,4.0,656.0,28.0,324.0,111.0,71.0,13.0,501.0,24.0,148.0,,951.0,30.0,30.0,17.0,48.0,9.0,29.0,24.0,26.0,84.0,52.0
GBR,Great Britain-1,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,2.0,,8.0,,,,,,
GBR,Great Britain-2,,,22.0,,,,,6.0,,,,,,,,,,,,,,,,,,,2.0,,8.0,,,,,,
GBR,Lancet,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Lucky Star,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GBR,Mistral Hojris,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany,,366.0,,,,,45.0,93.0,74.0,43.0,28.0,50.0,51.0,,420.0,71.0,14.0,21.0,6.0,,205.0,,71.0,,334.0,,,,,,,60.0,11.0,31.0,57.0
GDR,East Germany-1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany-2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDR,East Germany-3,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,18.0,18.0,,,,4.0,11.0,1.0,1.0,3.0,,2.0,,,24.0,,,41.0,1.0,3.0,,,19.0,,7.0,,,,4.0,5.0,,,,16.0,67.0
GHA,Ghana,,181.0,,,,,56.0,,,,,,98.0,,,,,2.0,,,,,,,2.0,,8.0,,,,,,,2.0,
GIN,Guinea,,29.0,,,,,7.0,,,,,,15.0,,,,,11.0,,,,,,,8.0,,,1.0,,,,,,,2.0
GMB,Gambia,,50.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,3.0
GNB,Guinea Bissau,,12.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0
