NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
HKG,0.09402037435340918,0.014377459310947454,,0.0636204007029921,0.2140228586106994,0.07439110508987137,0.02544687133811528,0.050652203386547336,,,0.2748007628565375,,0.11554651470539054,,,,,,0.1568925748588994,0.033799795614651504,,0.10738343495328566,0.18973250752096948,,,,,,,,,,,,0.08721360147003547
EGY,0.040411509383181395,0.0062236863481478525,0.021197626745336623,0.041048532386729446,0.003845112832505688,0.02797684758292245,0.05118436629710266,0.1992093966536016,0.18124128193069025,0.009315118785049063,0.2699726257291963,0.08186154739689319,0.16565832780017,0.0006695966434251071,0.004489314603896369,0.030644587334587962,0.08172748416728459,0.012875299215326116,0.050456814712328366,0.043898376834079406,,0.005874370649652814,0.0636748680174402,0.03808628252344861,0.01247802147886201,,0.07215702337429811,0.2484332191773638,0.002984075955526747,,,,,,0.0003848365838139055
BOL,0.05666640618356105,0.03561508084404607,0.018418077424544096,0.03093766434585244,,0.0028556427031005385,0.023445888319874555,0.1992093966536016,0.050638000347462415,,0.13353868524132498,0.0414921076728227,0.12037846586146062,,,,0.0483207091103779,,,0.03772022643877969,0.030836911809792603,,,,,,,,,,,,,,
DJI,0.34563384899146826,0.029561186532079405,,,,,,,,,,,0.07360650725731285,,,,,,,,,0.007993333770254612,,,,,,,,,,,,,
LUX,0.04651339483779587,0.005808073720331974,0.016578797057492798,0.0339651444564478,,0.08899318469457512,0.043281043765246933,0.24012019500563747,0.18955389846359175,,0.2663214774562115,,0.16897387815277518,,,,0.19965463553979126,,0.050456814712328366,,0.24166553029577564,0.002929445680910352,,,,,,,,0.46854539025091474,,,,,
LCA,0.01642155581705588,0.023254373738222613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,0.013517615807258278,0.00492125752001995,,,,0.003954968482967802,,,,,0.04649242810974393,,,,,,0.018349750688762514,,,,,,,,,,,0.23299511824299043,,,,,,,
WSM,0.01642155581705588,0.002426054366819406,,0.0023915004204870098,,,,0.06471129496656977,0.02400651466213577,,0.09117926143483424,,0.004299125033258392,,,,0.018349750688762514,,0.03182766598733662,,,,,,,,,0.23299511824299043,,,,,,,
AZE,0.09065318768555759,0.021561318613283965,0.020387916639106773,0.04685877078408468,0.09126320060206194,0.7888804280258934,0.012463934746839284,0.5828089781285585,0.7648099501830986,,0.6208882041769835,0.11233281435530526,0.46874486765895523,,,,0.19985618913459002,,0.01309407950276315,0.043898376834079406,,,,,,,0.07215702337429811,0.5142119534730631,,0.037675968305535594,,,,,
LBN,0.12050474504584495,0.05230864749568731,,0.10438527424702904,0.22361610074179072,0.22279969066871746,0.12351979417900687,0.3580554587104911,0.1657263943712329,,0.2748007628565375,,0.17285928733575232,,,,0.1997769521696732,,,,,0.002929445680910352,,,,,,0.2720058463966474,,,,,,,
JOR,0.08454215765269245,0.04663238338073143,,,,0.1243307656614997,0.01655772479264921,,0.18955389846359175,,0.2663214774562115,0.17291918707067994,0.17379742234615775,,,,,,0.050456814712328366,,,0.002249776265491333,,,,,,0.40696181659803526,,0.11900108821596396,,,,,
MWI,0.013517615807258278,0.0025411377611559297,,0.03230393452608652,,,,,,,0.1083369935448737,,,,,,,,0.00697216221174652,,,,,,,,,,,,,,,,
KIR,0.033409355281025906,,,,,,,,,,,,,,,,0.08172748416728459,,,,,,,,,,,,,,,,,,
BWA,0.022914669514319842,0.05105003618783047,,,,,,,,,0.16375464539968157,,0.18784383925682946,,,,,,,,,,,,,,,,,,,,,,
MMR,0.03708404714123711,0.019259606744056947,,,0.05056109398055594,0.03434409364961531,,0.023625060106303726,,,,,0.07956645957565826,,,,0.03050275166529115,,0.026751300313402903,,,,,,,,,,,,,,,,
MUS,0.0384082802972279,0.0062236863481478525,,0.041048532386729446,,,,,0.15714243809678435,,0.2445613689024853,,0.11037561376681063,,,,0.24917069987492535,,0.050456814712328366,,,0.005874370649652814,0.0636748680174402,,,,,,0.002984075955526747,0.037675968305535594,,,,,
MOZ,0.24138122430583672,0.024333378189342232,,,,,,0.023625060106303726,,,0.11705693077782447,,0.025057049478530966,,,,,,,,,,,,,,,,,,,,,,
GMB,0.05816084121489568,0.04248808030942287,,,,,,,0.06345359472548545,,0.24076522922337082,,0.12037846586146062,,,,,,,,,,,,,,,,,,,,,,
KHM,0.013517615807258278,0.002736809551014921,,0.03230393452608652,,,,,0.023796677756321147,,0.17674816230470114,,0.004299125033258392,,,,,,,,,,,,,,,0.23299511824299043,,,,,,,
GNB,0.03948758030979104,,,,,,,,0.06345359472548545,,,,0.11501367460515645,,,,,,,,,,,,,,,,,,,,,,
PRY,0.07311404141564164,0.05105003618783047,,,0.09126320060206194,0.0952397061535712,0.06060129388851356,,,0.8073989543270259,0.24728724554793555,,0.18008794838265302,,,,,,,,0.1312515044587815,0.006647532165126085,,,,,,,,,,,,0.03384790229950695,
NER,0.016036943072774108,0.0025411377611559297,,,0.37307352764344043,,,,,,0.2352360917995038,,0.0025482300398102504,,,,,,,,,,,,,,,0.5191986642938009,,,,,,,
UGA,0.23763176132417316,0.002001959554817141,,0.006641136689486279,,,,,,,0.30783429120655587,,,,,,0.018349750688762514,,0.050456814712328366,,,0.007993333770254612,0.049930856506895556,,,,,,,,,,,,0.0034016531140786616
CMR,0.1367698684858766,0.022563579944239853,,0.000684374190993392,0.10347915341636718,,,,0.05261804199173939,0.08124910636710916,0.2729246686242561,,0.025057049478530966,,,0.14944505216535794,0.04726327791421696,,,,,0.007993333770254612,,,,,,,,,,,,,
GIN,0.04380052089718524,0.005139153328444078,,,,,,,0.11757248677589947,,0.08689976572457025,,0.025057049478530966,,,,,,,,,,,,,,,0.15769982010681002,,,,,,,
SYR,0.25222792749312967,0.021561318613283965,,,,0.19086267332684292,,,0.14177812327507178,0.00020102068007145867,0.24076522922337082,,0.11501367460515645,,,,0.19596741629429962,,,0.043898376834079406,,,,,,,,,,,,,,,
MDG,0.009403048183648439,0.019259606744056947,,0.03230393452608652,,,,,0.1185088455576159,,0.16375464539968157,,0.0031984343546844537,,,,0.03050275166529115,,,,0.006056271176586372,,,,,,,,,,,,,,
MLI,0.04032155096966871,0.005139153328444078,,,,,,,,0.0004520698516221714,0.06360365475107022,,0.06839051768425346,0.012429687318381934,,,,,,,,,,,,,,0.186807956061766,,,,,,,
LSO,0.016036943072774108,0.024333378189342232,,0.000684374190993392,,,,,,,0.04649242810974393,,,,,,,,,,,,,,,,,0.23299511824299043,,,,,,,
